"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",997.444732611474,4.57496648744996,0.184241229157866,24.831393648215,4.10827007826644e-136,7.40803260513004e-132
"ENSG00000165995",495.095686525811,3.29109872411834,0.133052752743545,24.7352922525536,4.46377994642756e-135,4.02454399969909e-131
"ENSG00000120129",3409.03835490143,2.94784960588674,0.121876400362191,24.1872060310803,3.03342375842744e-129,1.82328990706545e-125
"ENSG00000101347",12703.4128252398,3.76702134486945,0.155991964038927,24.148816691156,7.68345243275298e-129,3.46370035668504e-125
"ENSG00000189221",2341.78067569054,3.35365461834073,0.142180878091056,23.5872408678821,5.21069832936258e-123,1.87918624550132e-119
"ENSG00000211445",12285.7000547124,3.73043888517742,0.166398379794793,22.4187212025616,2.58505699575456e-111,7.76895795790771e-108
"ENSG00000157214",3009.27287526155,1.97679555778944,0.0904251425234466,21.8611273659521,6.09209470983483e-106,1.56932359725345e-102
"ENSG00000162614",5393.11454093552,2.03569672173818,0.0946846980677574,21.499743499012,1.56550751279023e-102,3.52865393382917e-99
"ENSG00000125148",3656.26740037453,2.21100555131209,0.10609056644521,20.8407366026644,1.84970780393675e-96,3.70599234673194e-93
"ENSG00000154734",30315.1131700161,2.34563464270589,0.11635962408662,20.1584927857774,2.2668240564361e-90,4.08753713856558e-87
"ENSG00000139132",1223.46315207371,2.22892876092536,0.113079600647768,19.7111481483584,1.72997015462147e-86,2.83589289346676e-83
"ENSG00000162493",1099.63807723644,1.89125069647744,0.0959942591710095,19.7017062562904,2.08474554403679e-86,3.13267763750595e-83
"ENSG00000134243",5510.95647651194,2.19572507328025,0.112488206037138,19.5196025488693,7.48179646316066e-85,1.03778272172087e-81
"ENSG00000179094",776.600164098613,3.19178819012624,0.164048687402765,19.4563470190401,2.57497291187411e-84,3.31656511049385e-81
"ENSG00000162692",508.164810682556,-3.69257925046538,0.190065285432678,-19.4279520432115,4.47878246743743e-84,5.38409369685545e-81
"ENSG00000163884",561.111048261822,4.45916878778715,0.234793390748024,18.9918837731367,1.99058039083908e-80,2.24338410047565e-77
"ENSG00000178695",2649.82251474546,-2.5281712037888,0.134837265160323,-18.7497959171953,1.94335334290384e-78,2.06132632230835e-75
"ENSG00000198624",2057.20440873193,2.91847561651971,0.161676097987643,18.0513734116886,7.69531698193767e-73,7.70899754546112e-70
"ENSG00000148848",1365.16397466345,-1.814510897036,0.100752154084984,-18.0096486622556,1.63664026173167e-72,1.5532577473445e-69
"ENSG00000107562",25136.0890181904,-1.91163732216195,0.106290133125682,-17.9850872884085,2.54986909818712e-72,2.29896197892551e-69
"ENSG00000146250",313.686159348886,-2.75618380850932,0.15450434456895,-17.8388757688256,3.52721173238999e-71,3.02869914087887e-68
"ENSG00000106976",884.737400832367,-1.75622292867021,0.0998483760069685,-17.5888982765994,2.99646775390542e-69,2.45601393356466e-66
"ENSG00000154930",670.046865009161,1.89855964852272,0.108700844578142,17.4659144176005,2.60493804489713e-68,2.04227142719935e-65
"ENSG00000163394",1216.57690967205,-2.18849649103329,0.125768648148201,-17.4009701404634,8.11173965051349e-68,6.09462039075247e-65
"ENSG00000253368",1040.17481746375,1.98909843269857,0.114676168572906,17.3453513267144,2.13866628578774e-67,1.54257721861298e-64
"ENSG00000163661",8565.67576080715,2.26029878727372,0.131288998167713,17.2162086604267,2.00713295244875e-66,1.39202389994446e-63
"ENSG00000162616",1467.63832301977,1.51914521908131,0.0882657741896991,17.2110337560331,2.19478652950349e-66,1.4657922481484e-63
"ENSG00000124766",1281.45678699994,-2.41199936411794,0.141051859607347,-17.1000890795225,1.48177647903999e-65,9.54264052501755e-63
"ENSG00000148175",11193.7231981539,1.44790305866202,0.0848920204879317,17.0558204450776,3.16399067337649e-65,1.92454310950268e-62
"ENSG00000197381",1969.04008868001,2.32111756684879,0.136095020406733,17.0551248672575,3.20187961873782e-65,1.92454310950268e-62
"ENSG00000172403",8014.79636483276,1.74439247830998,0.103849343962132,16.7973374867545,2.55247238912478e-63,1.48471555228058e-60
"ENSG00000116285",3232.63588079279,2.42454519706406,0.144716728683982,16.7537313696369,5.31833140384603e-63,2.99687974606724e-60
"ENSG00000163083",418.919472436378,3.4500876305263,0.208581349855445,16.5407292306687,1.86747935767073e-61,1.02043599325814e-58
"ENSG00000166741",7432.96098233325,2.18740813129514,0.134973473505675,16.2062075938438,4.5584406214676e-59,2.41758239077364e-56
"ENSG00000070404",2128.12177561681,1.81553974195429,0.113739106217585,15.9623176436882,2.33882563977804e-57,1.20496296961365e-54
"ENSG00000105989",333.209551189313,-3.04198487406247,0.190975398646912,-15.9286740366318,4.00765615601575e-57,2.00739043903544e-54
"ENSG00000122035",943.340735322473,2.28888406400658,0.145028524649502,15.782302616249,4.11883953560819e-56,2.00732201367802e-53
"ENSG00000119139",5029.85477688044,1.92796405184785,0.122715041050211,15.7109025539826,1.27353084412483e-55,6.04323899506816e-53
"ENSG00000136478",3701.51777497719,1.46584788853245,0.0935976669636745,15.6611584036742,2.78772950228795e-55,1.28893175346811e-52
"ENSG00000196569",17178.4005648725,2.03067008748139,0.133240612046993,15.2406241331674,1.90046228858348e-52,8.56728399693434e-50
"ENSG00000108821",100989.91598642,-1.30491871248354,0.0860588851873289,-15.1630910584427,6.20776520520221e-52,2.73020541902942e-49
"ENSG00000221866",847.490034652657,2.75317247600459,0.181973466886643,15.1295269750487,1.03436212007193e-51,4.44086136884214e-49
"ENSG00000100242",2236.24203648175,1.85906659526987,0.123334773904618,15.0733368734076,2.42546882146239e-51,1.00150716280062e-48
"ENSG00000172986",756.360325010941,-1.57287451540412,0.104351570157734,-15.0728399489017,2.44378411508582e-51,1.00150716280062e-48
"ENSG00000145685",2018.15055205869,-1.23991066310964,0.0824318768010439,-15.0416405791932,3.91720454955409e-51,1.55023722637344e-48
"ENSG00000134686",2737.98162586977,1.38758314863826,0.0922591725852053,15.0400562866176,4.01208798444963e-51,1.55023722637344e-48
"ENSG00000060718",363.7631440814,2.42734784916718,0.161397246002424,15.0395865436931,4.04065825418986e-51,1.55023722637344e-48
"ENSG00000099337",530.058849354171,2.71832668483886,0.181169818632918,15.004302070571,6.8810929266251e-51,2.58499724276883e-48
"ENSG00000157150",167.615767587415,2.94523624024825,0.196435616144267,14.9933922272282,8.11028994546641e-51,2.98458669993164e-48
"ENSG00000126803",449.176836543227,2.45877920176872,0.164250842314231,14.9696596201607,1.15912974982801e-50,4.18028552977972e-48
"ENSG00000102804",5397.33558773763,1.20142031169869,0.0803728209624355,14.9480918712585,1.60276133983971e-50,5.6668612705862e-48
"ENSG00000138316",799.560819258847,-2.50718442151484,0.169147855868422,-14.8224428186967,1.04899158971187e-49,3.63758006647779e-47
"ENSG00000133142",3055.98067746606,1.53911945240293,0.104090781426012,14.7863185511479,1.79507185755341e-49,6.10730862932133e-47
"ENSG00000131389",740.403133853246,-2.12489485096019,0.145291902857753,-14.6250053111394,1.94555702018232e-48,6.49671929406067e-46
"ENSG00000168309",159.530276360668,4.83499710940448,0.330632792637325,14.6234651162023,1.99008400250604e-48,6.52458086057981e-46
"ENSG00000103196",3082.088884672,2.631297942725,0.180110527184713,14.6093511792704,2.44838518870724e-48,7.88380030763732e-46
"ENSG00000124440",197.042690626187,2.53000730033164,0.173550901456321,14.5778977758199,3.88290413955603e-48,1.22836013060481e-45
"ENSG00000152268",1597.85828741008,1.91301770948966,0.131386894336034,14.5601866849592,5.03201986104948e-48,1.56443762300766e-45
"ENSG00000163171",1357.57299789907,1.50566222636688,0.10358610634328,14.5353684921527,7.23232991321381e-48,2.21039615245884e-45
"ENSG00000141401",627.528067458797,2.32689707989239,0.160786154257204,14.4719991011797,1.82101560360214e-47,5.45035796647478e-45
"ENSG00000103742",370.827770473622,-2.19721344082214,0.151834117868147,-14.471144375668,1.84378791013178e-47,5.45035796647478e-45
"ENSG00000112837",2754.94303068407,-1.83354947892872,0.127751443226586,-14.3524756560022,1.02800988344141e-46,2.98985068035734e-44
"ENSG00000164647",1920.71084944799,1.56742382247365,0.109745801000574,14.2823124728521,2.82083404185266e-46,8.0738538797916e-44
"ENSG00000068383",1247.23914866505,1.38114284868679,0.0973000588026575,14.1946764028992,9.88416428818621e-46,2.78486328819646e-43
"ENSG00000156675",1631.8741313659,1.54727932913055,0.109750266323615,14.0981829107199,3.89674568152086e-45,1.08101720198745e-42
"ENSG00000136999",435.706358063201,-2.55243706034497,0.18255250682931,-13.9819337716986,2.00952681009661e-44,5.49027082419123e-42
"ENSG00000206538",12754.9344048327,1.36625055212357,0.0984866547725028,13.8724434826171,9.30520384798654e-44,2.47834964807222e-41
"ENSG00000196517",229.638049919376,-2.22911298233286,0.160690036171616,-13.8721294452394,9.34603904552524e-44,2.47834964807222e-41
"ENSG00000227051",4615.70080486906,-1.15108772051167,0.0832672764960734,-13.8240106912342,1.82605671784798e-43,4.77209488930938e-41
"ENSG00000134363",2906.30973919635,-1.80753313567685,0.131194291728263,-13.7775288228296,3.47981106202193e-43,8.96399329576848e-41
"ENSG00000109906",385.071327676389,7.35265640555455,0.53639111494344,13.7076401914857,9.13818238245069e-43,2.32084091155424e-40
"ENSG00000149218",2027.18420510953,1.92644789691597,0.140613330165424,13.7003219726722,1.01075100189009e-42,2.53136973140029e-40
"ENSG00000124762",8020.4921552315,-1.00795289464032,0.0736937787447567,-13.6775846185257,1.38207767366544e-42,3.41392117966236e-40
"ENSG00000167641",231.672665874094,2.8964379968285,0.211943065741849,13.6661135229422,1.61809462408035e-42,3.94290300829959e-40
"ENSG00000185432",3885.65647195502,2.24939395349763,0.164845812269782,13.6454418982529,2.14906821267833e-42,5.16693306813543e-40
"ENSG00000163378",1805.28792859584,1.26187525609123,0.0927919893653692,13.5989675910771,4.06125780734866e-42,9.63586852396197e-40
"ENSG00000126016",386.412442581616,-2.37421126129836,0.174904474194059,-13.5743312012941,5.68603328199797e-42,1.33156561222062e-39
"ENSG00000106484",677.207250627007,-1.86373747068838,0.137336258108813,-13.5706149006311,5.98180985529504e-42,1.38287173475231e-39
"ENSG00000196975",4908.81788741262,1.18510386741649,0.0876637490549143,13.5187449794569,1.21226250639414e-41,2.76702753358217e-39
"ENSG00000150907",678.867910303335,2.22787282538413,0.164920468254953,13.5087709182345,1.38819688460794e-41,3.1289957779063e-39
"ENSG00000151726",1460.17591174986,1.60252447339933,0.118678050604833,13.5031243370799,1.49882541846872e-41,3.33664443775655e-39
"ENSG00000130513",451.001146431514,-1.86848610009901,0.138385275807842,-13.5020585766186,1.52066898867896e-41,3.34398819559256e-39
"ENSG00000221869",1963.57514702786,1.49986138793548,0.111593932429594,13.440348908591,3.50778782741792e-41,7.6207747113253e-39
"ENSG00000169715",554.197192328851,2.22519842332067,0.166679330003346,13.3501761932688,1.18169090228742e-40,2.53669647024365e-38
"ENSG00000145390",8442.04514236764,2.14752801324162,0.161968681710147,13.2589090098589,4.00682429760322e-40,8.50012420404486e-38
